#iteration sample
-1 0.107625
-1 0.129455
-1 0.877292
-1 0.237384
-1 0.602312
-1 0.954979
-1 0.875042
-1 0.590632
-1 0.102099
-1 0.0277936
0 0.498122
1 0.50039
2 0.500175
3 0.500123
4 0.500096
5 0.500078
6 0.500065
7 0.500055
8 0.500048
9 0.500041
10 0.500035
11 0.500032
12 0.500027
13 0.500024
14 0.500021
15 0.500018
16 0.500016
17 0.500014
18 0.500012
19 0.50001
20 0.500009
21 0.500007
22 0.500006
23 0.500005
24 0.500003
25 0.500002
26 0.500001
27 0.5
28 0.499999
29 0.499999
30 0.499997
31 0.499997
32 0.499997
33 0.499996
34 0.499995
35 0.499994
36 0.499994
37 0.499993
38 0.499993
39 0.499992
